Date,Ticker,Raw_Momentum,Sector,Mom_Winsorized,Z_Momentum,Momentum_Quintile,Forward_Return,EV/EBIT,ROIC,Realized_Vol,Z_LowVol,Defensive_Quintile,Value_Quintile,Quality_Quintile
2021-12-01,APD,0.12091617599189974,Basic Materials,0.12091617599189974,-0.6881794223876712,2,-0.06816722375168172,24.95236,3.9091,0.17239990742031427,1.3104910826121523,5,2,2
2021-12-01,APH,0.1842406071280589,Technology,0.1842406071280589,-0.2950923369563135,2,-0.0877720269216169,25.16027,11.3808,0.21105438328764134,1.2906088793363453,5,2,4
2021-12-01,APO,0.6173406958690111,Financial Services,0.6173406958690111,1.2793525393368168,5,-0.03354943622634643,0.0,0.0,0.3061732762995105,-0.6779865150693858,2,5,1
2021-12-01,APTV,0.32696299254510497,Consumer Cyclical,0.32696299254510497,0.39184910301223624,4,-0.1719914861598294,37.37605,6.3904,0.27724931708066375,0.4453183844906999,4,2,3
2021-12-01,ARE,0.1740400323323703,Real Estate,0.1740400323323703,-0.9222821795184063,2,-0.12160290990780087,80.18507,1.3267,0.17161390655946923,1.4046147038713432,5,1,2
2021-12-01,ATO,-0.01574890040608301,Utilities,-0.01574890040608301,-1.0896183447361367,1,0.023384663903629477,21.77701,2.528,0.21057994363331578,-0.19828546539654102,2,3,2
2021-12-01,AVB,0.5144530887521295,Real Estate,0.5144530887521295,0.6048428201803661,4,-0.026971053959402025,64.85252,0.6543,0.20536577628581512,0.6986624066153165,4,1,2
2021-12-01,AVGO,0.2529698455599396,Technology,0.2529698455599396,0.016891518058519954,3,-0.11388792705268447,33.70746,0.8009,0.281719537228005,0.48709250567466716,4,2,2
2021-12-01,AVY,0.4230590961761298,Consumer Cyclical,0.4230590961761298,0.847202212267534,5,-0.0514845575733619,18.17577,12.5255,0.2568421143023751,0.6513264564501902,4,3,4
2021-12-01,AWK,0.14717444348289277,Utilities,0.14717444348289277,0.7016517578725282,4,-0.14857574795711792,31.71911,1.958,0.19280032199577776,0.1588897838712252,3,2,2
2021-12-01,AXON,0.46870161190496895,Industrials,0.46870161190496895,1.1841919757293438,5,-0.10872616130075641,999.0,-2.0461,0.42830694248761264,-2.501511719923432,1,1,1
2021-12-01,AXP,0.4504167594611064,Financial Services,0.4504167594611064,0.44009045220721943,4,0.09914442557594993,0.0,0.0,0.3335059860257119,-1.0937369092731406,1,5,1
2021-12-01,AZO,0.5056350840541219,Consumer Cyclical,0.5056350840541219,1.2384900107244514,5,-0.05249019630449625,15.06784,33.7583,0.23935332013471633,0.8278735710409674,5,4,5
2021-12-01,BA,-0.03284125413190564,Industrials,-0.03284125413190564,-1.438342548637535,1,-0.005364602581776068,999.0,-17.3823,0.3776390416919165,-1.7438895557862815,1,1,1
2021-12-01,BAC,0.6089945864677473,Financial Services,0.6089945864677473,1.2373898745072514,5,0.04207845940294597,0.0,0.0,0.2425212553290122,0.2902070184456001,3,5,1
2021-12-01,BALL,-0.01268230641870327,Consumer Cyclical,-0.01268230641870327,-1.2175662331282333,1,0.008621376719164964,26.5127,5.0346,0.23593780514808052,0.862352752964625,5,2,3
2021-12-01,BAX,-0.0026852280629725556,Healthcare,-0.0026852280629725556,-1.0560477680781035,1,-0.0009339700311571386,20.5845,4.5077,0.1981013618821785,0.9542710760727351,5,3,3
2021-12-01,BBY,0.25494980197410655,Consumer Cyclical,0.25494980197410655,0.05061330889714961,3,-0.016201513899111064,7.81902,23.189,0.3974693984601637,-0.7682877841191796,2,5,5
2021-12-01,BDX,-0.0294352614183373,Healthcare,-0.0294352614183373,-1.177448695026856,1,0.014157544715817316,25.05995,2.4888,0.19631447205045885,0.9815076107097053,5,2,2
2021-12-01,BEN,0.30946872300599093,Financial Services,0.30946872300599093,-0.26856970641181144,3,-0.03713746876820234,7.65552,8.0194,0.3856790715907052,-1.8873274865615317,1,5,3
2021-12-01,BF-B,-0.1370359411797758,Consumer Defensive,-0.09354815295249315,-1.1178178498267433,1,-0.059235648889522596,33.38571,8.1987,0.20329278934900083,0.16633741061224352,3,2,4
2021-12-01,BG,0.4395293898005739,Consumer Defensive,0.4395293898005739,2.3100353070867317,5,0.05891181029619319,8.23047,14.5527,0.2220398450459839,-0.1554394417957197,2,5,4
2021-12-01,BIIB,0.08911211308927536,Healthcare,0.08911211308927536,-0.639439603173564,2,-0.058019332590788064,14.61308,8.3377,0.3476963261940983,-1.3259189807909235,1,4,4
2021-12-01,BK,0.4244271155114141,Financial Services,0.4244271155114141,0.30941942147096524,4,0.020316928451515892,0.0,0.0,0.22999574834181727,0.4807290896084249,4,5,1
2021-12-01,BKNG,0.08688219988435697,Consumer Cyclical,0.08688219988435697,-0.745778035652035,2,0.023715940123055113,44.3157,2.2181,0.3840781442735605,-0.6331048055369028,2,1,2
2021-12-01,BKR,0.23183606890019326,Energy,0.23183606890019326,-1.5581709776381596,1,0.14048233476667127,14.52184,-1.744,0.36595556948478664,-0.19665516304666572,2,4,1
2021-12-01,BLDR,0.42783627779781774,Industrials,0.42783627779781774,0.9705098424500082,5,-0.20674368696747902,8.03316,25.1892,0.339798196310952,-1.1780665648969328,1,5,5
2021-12-01,BLK,0.33396521487803943,Financial Services,0.33396521487803943,-0.14540596286307575,3,-0.09701633805722831,19.11125,7.3395,0.21672090850678877,0.682649058381745,4,3,3
2021-12-01,BMY,-0.028691600927408634,Healthcare,-0.028691600927408634,-1.1740737058545228,1,0.0407377455174216,16.5811,-10.8536,0.2201387152782394,0.6183683648791022,4,4,1
2021-12-01,BR,0.18238547554895845,Technology,0.18238547554895845,-0.30351336874442425,2,-0.12597063739266445,34.50591,5.8151,0.23834364793276844,0.9803092515162249,5,2,3
2021-12-01,BRK-B,0.23780573515158632,Financial Services,0.23780573515158632,-0.6288777008845711,2,0.046889595363451164,5.25418,15.314,0.14462090705103645,1.432586659024517,5,5,5
2021-12-01,BRO,0.33858379178275433,Financial Services,0.33858379178275433,-0.12218462878701196,3,-0.05691552175431924,23.45975,7.6811,0.2046153738380577,0.8667830451319719,5,3,3
2021-12-01,BSX,0.1997218401335219,Healthcare,0.1997218401335219,-0.13745430789067165,3,0.009887052452177691,31.26034,4.3069,0.26045484071590425,0.003852837721704938,2,2,3
2021-12-01,BX,1.1982655496325965,Financial Services,0.7540087032738506,1.9664935186756989,5,0.019939685856574574,0.0,0.0,0.38375124071114913,-1.8580037767587938,1,5,1
2021-12-01,BXP,0.2477944568709518,Real Estate,0.2477944568709518,-0.591412891671882,2,-0.018593064254260105,34.53107,-1.6176,0.27189521290349156,-0.6928637220464361,2,2,1
2021-12-01,C,0.1475686949416284,Financial Services,0.1475686949416284,-1.0825725293958186,1,0.07832435747429423,0.0,0.0,0.19724605175483328,0.9788757937765747,5,5,1
2021-12-01,CAG,-0.08987978256717088,Consumer Defensive,-0.08987978256717088,-1.0942290958508893,1,0.01786209776305614,12.10114,3.0352,0.18885458912362016,0.41415651874593257,3,4,2
2021-12-01,CAH,-0.07545429260827086,Healthcare,-0.07545429260827086,-1.3862990156796726,1,0.011069179201350199,9.04073,7.348,0.20967211117353066,0.7779047952560141,4,5,3
2021-12-01,CARR,0.3964235509971006,Industrials,0.3964235509971006,0.8062547685211356,4,-0.11840740574157349,20.67896,10.3795,0.2702793140701268,-0.13857123975878338,2,3,4
2021-12-01,CAT,0.13794162061698279,Industrials,0.13794162061698279,-0.5453301751614564,2,-0.025055756448296607,18.59869,5.3571,0.251990327734979,0.13489857425582086,3,3,3
2021-12-01,CB,0.29339105744599236,Financial Services,0.29339105744599236,-0.3494051782106724,2,0.02476375640764683,8.86325,9.5372,0.23744526759043477,0.36741648375024183,3,5,4
2021-12-01,CBOE,0.43375285630321114,Financial Services,0.43375285630321114,0.3563074882718065,4,-0.09102768331970823,19.1706,5.6169,0.21161332033094435,0.7603391893204337,4,3,3
2021-12-01,CBRE,0.6594387724070885,Real Estate,0.6594387724070885,1.2552622383911824,5,-0.06607691141078553,15.47288,12.1554,0.29901613325751447,-1.260123437814871,1,4,4
2021-12-01,CCI,0.16796861944629127,Real Estate,0.16796861944629127,-0.9495191089691722,1,-0.11913981363976767,55.14613,-3.0287,0.20392641297876515,0.728768052359878,4,1,1
2021-12-01,CCL,0.023084026016728654,Consumer Cyclical,0.023084026016728654,-1.048086825891638,1,-0.015407622284315359,999.0,-19.8555,0.546310470702076,-1.519029987171748,1,1,1
2021-12-01,CDNS,0.2688558960912535,Technology,0.2688558960912535,0.08900334991930725,3,-0.18357931630473823,61.50297,22.8337,0.3628088439238434,-0.43495438767770783,2,1,5
2021-12-01,CDW,0.42616637527948353,Technology,0.42616637527948353,0.803085607356475,4,-0.07681383697382582,20.70084,13.8308,0.27071652381880396,0.6122051098497506,4,3,4
2021-12-01,CF,0.4950606687686345,Basic Materials,0.4950606687686345,0.6552833016572448,4,-0.026985109040208455,14.56112,0.409,0.3650549643334034,-0.8849604455836848,1,4,2
2021-12-01,CFG,0.36267557635150616,Financial Services,0.36267557635150616,-0.0010556772720044351,3,0.08931201060807048,0.0,0.0,0.2853246077921246,-0.36086310369169744,2,5,1
2021-12-01,CHD,0.01051114161522082,Consumer Defensive,0.01051114161522082,-0.44868446343804175,2,0.0014634586877921851,24.37303,10.7574,0.19032236435733935,0.38896343763589303,3,3,4
2021-12-01,CHRW,0.056330000013748105,Industrials,0.056330000013748105,-0.9720719496238177,1,-0.022567087632900384,14.01652,14.9562,0.21150668517845553,0.7402385311942661,4,4,4
2021-12-01,CHTR,0.020164805534912178,Communication Services,0.020164805534912178,-0.5695135477139196,2,-0.08992736856334971,19.677,3.7948,0.28333747931747777,0.1292515357794067,3,3,2
2021-12-01,CI,0.03933361016320425,Healthcare,0.03933361016320425,-0.8653517101629276,2,0.00866120177080365,12.0101,8.8172,0.23800224771576142,0.3460848075290797,3,4,4
2021-12-01,CINF,0.42362016158384863,Financial Services,0.42362016158384863,0.3053622092338235,4,0.039884635588999684,5.63851,18.2035,0.2577816880540548,0.058084737679766386,3,5,5
2021-12-01,CL,-0.09412052236596335,Consumer Defensive,-0.09354815295249315,-1.1178178498267433,1,-0.03386433676322276,18.26833,13.3998,0.1568162611002742,0.7821019478550909,4,3,4
2021-12-01,CLX,-0.17854663122886427,Consumer Defensive,-0.09354815295249315,-1.1178178498267433,1,-0.03727894331763537,24.34202,-2.9996,0.21628278890707414,-0.05662459676315062,2,3,1
2021-12-01,CMCSA,-0.0052463584417827835,Communication Services,-0.0052463584417827835,-0.6705249149254183,2,-0.0067552851778733825,14.31778,5.0377,0.27894659859449844,0.1822494075012475,3,4,3
2021-12-01,CME,0.25039799424258113,Financial Services,0.25039799424258113,-0.5655661958134236,2,0.022985619154809456,29.2329,0.8601,0.18114952149496186,1.223715726146656,5,2,2
2021-12-01,CMG,0.2829142845038908,Consumer Cyclical,0.2829142845038908,0.18312351053389522,3,-0.1502474125464427,59.99849,13.2834,0.22687220450387902,0.9538688186477475,5,1,4
2021-12-01,CMI,0.07425591519332109,Industrials,0.07425591519332109,-0.878338522986171,2,0.012560674690755613,10.96115,10.7668,0.22768576795321505,0.4983174823039086,4,5,4
2021-12-01,CMS,0.01051089234130509,Utilities,0.01051089234130509,-0.8009035385807309,2,-0.010299968205381815,19.9196,1.8688,0.17850561722523736,0.44605645387770204,4,3,2
2021-12-01,CNC,0.18673995189782944,Healthcare,0.18673995189782944,-0.19637061817789206,3,-0.05631067116171329,15.66281,1.5774,0.316040876171348,-0.8434131510029866,2,4,2
2021-12-01,CNP,0.2275519394679777,Utilities,0.2275519394679777,1.585366774050593,5,0.016123340189252433,999.0,2.3013,0.18722833498573094,0.2708255657344558,3,1,2
2021-12-01,COF,0.5483980073156951,Financial Services,0.5483980073156951,0.932721696974045,5,0.011303055695970565,0.0,0.0,0.32571186294245996,-0.9751826284574227,1,5,1
2021-12-01,COO,0.14770189726128935,Healthcare,0.14770189726128935,-0.3735388465756909,2,-0.04926725968142587,32.78756,40.3094,0.2379258040239456,0.34724999478514923,3,2,5
2021-12-01,COP,0.9089347135945742,Energy,0.7540087032738506,0.9182967355848198,5,0.23117036377286015,14.22588,4.4855,0.30891747693061117,0.4619532949626116,4,4,3
2021-12-01,COR,0.3204440363845462,Healthcare,0.3204440363845462,0.41042487915431547,4,0.03627747900175238,10.97685,19.3167,0.20912391292363558,0.7862606660859602,5,5,5
2021-12-01,COST,0.3467890507863409,Consumer Defensive,0.3467890507863409,1.7136862989830033,5,-0.11021655522307605,32.37463,13.9391,0.233128974431085,-0.3457746713462838,2,2,4
2021-12-01,CPAY,-0.09317151398760615,Technology,-0.09317151398760615,-1.5543541147408448,1,0.06442100788448046,17.36443,10.0863,0.319829675190904,0.053751344604846166,3,4,4
2021-12-01,CPB,-0.15423549058337682,Consumer Defensive,-0.09354815295249315,-1.1178178498267433,1,0.015186272840194803,10.99373,5.76,0.1918731768374197,0.3623450946501437,3,5,3
2021-12-01,CPRT,0.22035358181636777,Industrials,0.22035358181636777,-0.11440347257671553,3,-0.14753987493468568,27.09715,26.3504,0.23389619281249577,0.4054548326142834,3,2,5
2021-12-01,CPT,0.6785261416474524,Real Estate,0.6785261416474524,1.3408899726855394,5,-0.09973322094888704,86.87366,-3.143,0.19454238651108935,0.9250438467404195,5,1,1
2021-12-01,CRL,0.7957255726397077,Healthcare,0.7540087032738506,2.3780916761765507,5,-0.12479428092257727,31.48254,8.1366,0.33404763482969,-1.1178798233134493,1,2,3
2021-12-01,CRM,0.3467400096757782,Technology,0.3467400096757782,0.4425440926207723,4,-0.08460227698140688,273.55344,2.9493,0.36034316578919934,-0.40691775798270885,2,1,2
2021-12-01,CRWD,0.3303747429374615,Technology,0.3303747429374615,0.3682569461041341,4,-0.11775336073431775,999.0,-16.3333,0.5309189778250826,-1.6746994421685149,1,1,1
2021-12-01,CSCO,0.2787630154962415,Technology,0.2787630154962415,0.13397491332639858,3,-0.12150840166009391,15.61682,9.6938,0.22778529285775345,1.1003657533228741,5,4,4
2021-12-01,CSGP,-0.06900504452309808,Real Estate,-0.06900504452309808,-2.0126052617859154,1,-0.11223579974938747,77.96821,3.5776,0.32098177505816655,-1.719555623812235,1,1,2
2021-12-01,CSX,0.20600465953129743,Industrials,0.20600465953129743,-0.189433039595395,3,-0.0898933510573755,17.74987,9.2934,0.1925911693631889,1.0230766555822826,5,3,4
2021-12-01,CTAS,0.23364338234895343,Industrials,0.23364338234895343,-0.04491198325685198,3,-0.11652419307475892,32.04044,8.235,0.21954934031499077,0.6199790830177951,4,2,4
2021-12-01,CTRA,0.33398739550510714,Energy,0.33398739550510714,-1.0737057920900774,1,0.1526315521054069,31.59347,5.5666,0.3407430408370799,0.09446930959254565,3,2,3
2021-12-01,CTSH,-0.03783220376985208,Technology,-0.03783220376985208,-1.3031513991351944,1,-0.037195702240982786,14.92314,9.8897,0.19096134037482965,1.5190820103898237,5,4,4
2021-12-01,CTVA,0.12428030676726087,Basic Materials,0.12428030676726087,-0.676099639355272,2,0.016920516013244846,13.86856,4.5383,0.2711784979533497,0.18483359397111787,3,4,3
2021-12-01,CVS,0.33257392567568456,Healthcare,0.33257392567568456,0.46547452280025914,4,0.03247391925134746,13.80233,3.2086,0.2201130474062538,0.6187596054984079,4,4,2
2021-12-01,CVX,0.4104700635771259,Energy,0.4104700635771259,-0.710977365448768,2,0.1191306764821205,14.07498,-0.1009,0.19162860997033127,1.8162664627284284,5,4,1
2021-12-01,D,0.04385928169982223,Utilities,0.04385928169982223,-0.4342527480790836,2,0.0359426720976066,27.24947,0.8719,0.2138767279601969,-0.2645146455074226,2,2,2
2021-12-01,DAL,-0.026858805790308526,Industrials,-0.026858805790308526,-1.407060721343183,1,0.01560904159491261,999.0,-0.1599,0.44640367520490887,-2.7721068223409002,1,1,1
2021-12-01,DAY,0.17539417107371125,Technology,0.17539417107371125,-0.3352491215555353,2,-0.27417192839996496,999.0,-2.5823,0.31936560643040385,0.05902815823609415,3,1,1
2021-12-01,DD,-0.009462281819367813,Basic Materials,-0.009462281819367813,-1.1563370499073256,1,-0.051745423897873066,18.5132,11.4365,0.29854562098066795,-0.12703567660688816,2,3,4
2021-12-01,DDOG,0.6969727642092431,Technology,0.6969727642092431,2.0323618674839627,5,-0.17966425181259693,999.0,-2.6444,0.5532120535759731,-1.6746994421685149,1,1,1
2021-12-01,DE,0.2861889063947982,Industrials,0.2861889063947982,0.2298450918463684,3,0.1010724574686479,17.39072,7.7775,0.30496894759666293,-0.6572750899828561,2,4,3
2021-12-01,DECK,0.37844349332848304,Consumer Cyclical,0.37844349332848304,0.6357903785892282,4,-0.12579509742614625,17.68425,27.2515,0.42313997905850675,-1.027428974246993,1,3,5
2021-12-01,DELL,0.500750326545518,Technology,0.500750326545518,1.1416458645209477,5,0.011394037327157047,12.16534,11.0985,0.2698479316950247,0.6220816608027028,4,4,4
2021-12-01,DG,0.059395541181328504,Consumer Defensive,0.059395541181328504,-0.13434268398303428,3,-0.11597342528544619,19.26094,10.1244,0.18427325777027992,0.4927910737685099,4,3,4
2021-12-01,DGX,0.24898770713839413,Healthcare,0.24898770713839413,0.08613127953163166,3,-0.21958266931072012,7.89513,16.4389,0.23001159250592074,0.46788177202658543,4,5,5
2021-12-01,DHI,0.3075219914676921,Consumer Cyclical,0.3075219914676921,0.2997275709923107,4,-0.17551177961725517,6.97523,20.937,0.26987194804041886,0.5197919705390242,4,5,5
2021-12-01,DHR,0.4080479805007975,Healthcare,0.4080479805007975,0.8080019542478195,4,-0.1307994645127849,33.44973,8.0189,0.23306739135378263,0.42130398659965373,3,2,3
2021-12-01,DIS,-0.0668395793413421,Communication Services,-0.0668395793413421,-0.9153627924712994,2,-0.07695777712943452,73.92542,1.2454,0.2567162963362664,0.4505688590531258,4,1,2
2021-12-01,DLR,0.16793016857644494,Real Estate,0.16793016857644494,-0.9496916031890476,1,-0.15052438932253875,77.37429,-2.0661,0.2088544524116183,0.625693443847883,4,1,1
2021-12-01,DLTR,-0.0025916214080357047,Consumer Defensive,-0.0025916214080357047,-0.5329392744015647,2,-0.0661827694918482,19.71709,8.1547,0.40012215278337626,-3.2120668599617646,1,3,3
2021-12-01,DOC,0.20683050896396948,Real Estate,0.20683050896396948,-0.7751810161764032,2,-0.019950388362576676,74.93601,-0.4764,0.1904014179196019,1.0116561237409951,5,1,1
2021-12-01,DOV,0.35291036756550964,Industrials,0.35291036756550964,0.5787272059895889,4,-0.06437230299690189,19.99415,9.8536,0.2099349506771764,0.7637402132376884,4,3,4
2021-12-01,DOW,0.04118703700822568,Basic Materials,0.04118703700822568,-0.9744675498696935,1,0.05306774863524155,6.59725,11.2875,0.2518543779267601,0.40504670191229625,3,5,4
2021-12-01,DPZ,0.2861423211466112,Consumer Cyclical,0.2861423211466112,0.19841962001713362,3,-0.19294243758816054,29.46205,32.5064,0.2483642156146356,0.736909746914047,4,2,5
2021-12-01,DRI,0.2302225130173441,Consumer Cyclical,0.2302225130173441,-0.06655739297801751,3,-0.07149487923811215,25.73055,5.6808,0.3157192992051508,0.05696889181974871,3,2,3
2021-12-01,DTE,0.13336684007493327,Utilities,0.13336684007493327,0.5498432657131125,4,0.01490978461896919,19.17161,0.2014,0.15725684695531,0.6688018129657745,4,3,2
2021-12-01,DUK,0.14710841264336905,Utilities,0.14710841264336905,0.7009257779984004,4,0.0015249488577477877,24.6092,0.0521,0.15160151749098652,0.6688018129657745,4,3,1
2021-12-01,DVA,-0.12061331753039228,Healthcare,-0.09354815295249315,-1.4684152279732665,1,-0.04738044381533835,12.42037,6.663,0.3421146615373867,-1.2408408746559898,1,4,3
2021-12-01,DVN,1.6605178349152396,Energy,0.7540087032738506,0.9182967355848198,5,0.16989560394765024,7.3504,3.4246,0.46326154712388723,-1.320229550235422,1,5,2
2021-12-01,DXCM,0.6856270148085202,Healthcare,0.6856270148085202,2.0677518625498506,5,-0.19828661663136637,141.74647,15.7385,0.42990972325865096,-2.579050537657372,1,1,5
2021-12-01,EA,-0.01848420823228747,Communication Services,-0.01848420823228747,-0.7231464047361832,2,0.0071174482458262744,30.58536,6.0934,0.24805043440311575,0.5551656969241108,4,2,3
2021-12-01,EBAY,0.5398252763953082,Consumer Cyclical,0.5398252763953082,1.4005008498774498,5,-0.09669170728168386,10.35078,76.7486,0.3141368393545991,0.07294361928765507,3,5,5
2021-12-01,ECL,0.03613962757761091,Basic Materials,0.03613962757761091,-0.9925915809698124,1,-0.19064169532603348,36.6617,4.3341,0.2100845189532602,0.8810461497610202,5,2,3
2021-12-01,ED,0.07595736390784946,Utilities,0.07595736390784946,-0.08134853166737514,3,0.01324422500042366,20.75585,0.3502,0.17640817931461156,0.48819193481334533,4,3,2
2021-12-01,EFX,0.4462250126879226,Industrials,0.4462250126879226,1.0666633227891824,5,-0.18111959926092647,34.83586,6.1884,0.31645577306149797,-0.8290342004071283,2,2,3
2021-12-01,EG,0.14481116057817212,Financial Services,0.14481116057817212,-1.0964368923805887,1,0.03460834177666161,8.85724,6.8317,0.2558849761880889,0.08693510465272497,3,5,3
2021-12-01,EIX,0.04780066918686954,Utilities,0.04780066918686954,-0.3909189359940895,2,-0.07049300563130811,17.68352,-0.598,0.16191280947475328,0.6688018129657745,4,4,1
2021-12-01,EL,0.22463656115812514,Consumer Defensive,0.22463656115812514,0.9282080831226129,5,-0.15777950997055123,37.21992,16.4759,0.2800347271851766,-1.1508709875356395,1,2,5
